epoch,lr,train_loss,train_mae,train_mse,train_r2,val_mae,val_mse,val_r2,test_mae,test_mse,test_r2
54,8.19e-07,25.635398,3.284040,25.635397,0.963323,3.469928,28.899057,0.957802,3.482851,30.029306,0.956349
55,3.28e-07,26.269624,3.322309,26.269623,0.962416,3.486766,29.028681,0.957612,3.493396,30.196520,0.956106
56,3.28e-07,24.265766,3.151039,24.265768,0.965283,3.458550,28.751440,0.958017,3.482892,29.949152,0.956466
57,3.28e-07,26.444274,3.309047,26.444273,0.962166,3.482063,28.982304,0.957680,3.490949,30.161423,0.956157
58,3.28e-07,25.605800,3.306131,25.605801,0.963366,3.497651,29.128082,0.957467,3.497743,30.311562,0.955939
59,3.28e-07,24.926846,3.245409,24.926846,0.964337,3.471720,28.881830,0.957827,3.485361,30.067680,0.956293
60,1.31e-07,25.088725,3.210962,25.088726,0.964105,3.480935,28.976414,0.957689,3.488522,30.148706,0.956176
61,1.31e-07,25.830942,3.257556,25.830942,0.963044,3.474504,28.921272,0.957769,3.484760,30.082279,0.956272
62,1.31e-07,24.875820,3.215601,24.875820,0.964410,3.482084,28.996588,0.957659,3.488018,30.155994,0.956165
63,1.31e-07,25.403346,3.210002,25.403347,0.963655,3.480673,28.971514,0.957696,3.488320,30.147198,0.956178
64,1.31e-07,24.865008,3.226770,24.865007,0.964426,3.469014,28.854542,0.957867,3.483982,30.034552,0.956342
65,5.24e-08,25.454597,3.249972,25.454597,0.963582,3.465053,28.816473,0.957922,3.482031,29.993164,0.956402
66,5.24e-08,24.354807,3.219640,24.354807,0.965155,3.468673,28.857191,0.957863,3.483115,30.024992,0.956355
67,5.24e-08,25.781445,3.261203,25.781445,0.963114,3.474641,28.920065,0.957771,3.485075,30.078074,0.956278
68,5.24e-08,24.475367,3.156353,24.475367,0.964983,3.473302,28.906111,0.957791,3.484493,30.064663,0.956298
69,5.24e-08,25.784112,3.260965,25.784111,0.963111,3.476103,28.936712,0.957747,3.485418,30.089209,0.956262
70,2.10e-08,25.960566,3.243624,25.960567,0.962858,3.473739,28.914881,0.957778,3.484411,30.066734,0.956295
71,2.10e-08,24.950136,3.187001,24.950136,0.964304,3.471989,28.898544,0.957802,3.483671,30.049347,0.956320
72,2.10e-08,26.155708,3.313016,26.155706,0.962579,3.475133,28.930628,0.957755,3.484773,30.079252,0.956277
73,2.10e-08,25.207917,3.258287,25.207916,0.963935,3.472665,28.907095,0.957790,3.483722,30.054981,0.956312
74,2.10e-08,25.051003,3.214484,25.051003,0.964159,3.475588,28.938509,0.957744,3.484679,30.081615,0.956273
75,8.39e-09,24.556721,3.206946,24.556721,0.964867,3.476357,28.947186,0.957731,3.484911,30.088015,0.956264
76,8.39e-09,26.035517,3.262481,26.035517,0.962751,3.475451,28.938725,0.957744,3.484536,30.079269,0.956277
77,8.39e-09,24.689523,3.173621,24.689524,0.964677,3.472874,28.912712,0.957782,3.483629,30.054733,0.956312
78,8.39e-09,25.578716,3.217541,25.578716,0.963404,3.473468,28.919022,0.957772,3.483826,30.060190,0.956304
79,8.39e-09,25.393315,3.220543,25.393314,0.963670,3.474633,28.931541,0.957754,3.484193,30.071259,0.956288
80,8.39e-09,25.866813,3.256392,25.866814,0.962992,3.475355,28.939096,0.957743,3.484451,30.077938,0.956279
81,8.39e-09,25.398966,3.196601,25.398966,0.963662,3.474565,28.931442,0.957754,3.484157,30.070669,0.956289
82,8.39e-09,25.522923,3.257774,25.522924,0.963484,3.472161,28.907541,0.957789,3.483259,30.047867,0.956322
83,8.39e-09,24.670840,3.212419,24.670839,0.964703,3.471419,28.900093,0.957800,3.482981,30.041023,0.956332
84,8.39e-09,25.732543,3.289541,25.732544,0.963184,3.473757,28.923483,0.957766,3.483823,30.062899,0.956300
85,8.39e-09,25.157812,3.248173,25.157812,0.964007,3.474716,28.933624,0.957751,3.484144,30.071480,0.956288
86,8.39e-09,25.086257,3.236203,25.086258,0.964109,3.474028,28.926542,0.957761,3.483909,30.065300,0.956297
87,8.39e-09,25.018490,3.220246,25.018490,0.964206,3.474834,28.934813,0.957749,3.484203,30.072895,0.956286
88,8.39e-09,25.114798,3.284644,25.114798,0.964068,3.474647,28.933012,0.957752,3.484122,30.071011,0.956289
89,8.39e-09,25.271017,3.235419,25.271017,0.963845,3.475704,28.943525,0.957737,3.484503,30.080736,0.956274
90,8.39e-09,25.697027,3.294024,25.697027,0.963235,3.474769,28.934156,0.957750,3.484172,30.072283,0.956287
91,8.39e-09,24.859660,3.211276,24.859659,0.964433,3.472444,28.910440,0.957785,3.483340,30.050714,0.956318
92,8.39e-09,25.569154,3.233209,25.569155,0.963418,3.473622,28.922348,0.957768,3.483737,30.061560,0.956302
93,8.39e-09,25.586633,3.289040,25.586632,0.963393,3.473442,28.920601,0.957770,3.483678,30.059605,0.956305
94,8.39e-09,25.844315,3.319762,25.844316,0.963024,3.473481,28.920696,0.957770,3.483709,30.060022,0.956305
95,8.39e-09,25.313595,3.234330,25.313595,0.963784,3.475023,28.936077,0.957747,3.484277,30.074228,0.956284
96,8.39e-09,25.875209,3.290742,25.875208,0.962980,3.473984,28.926020,0.957762,3.483847,30.064512,0.956298
97,8.39e-09,25.986408,3.263701,25.986408,0.962821,3.471888,28.904787,0.957793,3.483113,30.045153,0.956326
98,8.39e-09,24.641801,3.167692,24.641800,0.964745,3.472031,28.905993,0.957791,3.483200,30.046457,0.956324
99,8.39e-09,24.698841,3.190127,24.698839,0.964663,3.470583,28.891619,0.957812,3.482642,30.032837,0.956344
100,8.39e-09,24.586701,3.205212,24.586700,0.964824,3.469323,28.879015,0.957831,3.482172,30.020882,0.956361
101,8.39e-09,25.592965,3.276029,25.592966,0.963384,3.468970,28.875532,0.957836,3.482058,30.017448,0.956366
102,8.39e-09,24.357453,3.147714,24.357452,0.965152,3.468721,28.872980,0.957840,3.481979,30.014975,0.956370
103,8.39e-09,25.098070,3.224831,25.098068,0.964092,3.469040,28.876431,0.957835,3.482082,30.017775,0.956366
104,8.39e-09,26.731340,3.362652,26.731340,0.961755,3.469607,28.882078,0.957826,3.482279,30.022827,0.956359
105,8.39e-09,24.804385,3.196209,24.804386,0.964512,3.469973,28.885885,0.957821,3.482393,30.026154,0.956354
106,8.39e-09,25.625744,3.255955,25.625744,0.963337,3.469583,28.881800,0.957827,3.482263,30.022655,0.956359
107,8.39e-09,24.598910,3.219923,24.598909,0.964806,3.468601,28.872179,0.957841,3.481885,30.013351,0.956372
108,8.39e-09,24.544971,3.189563,24.544971,0.964883,3.468473,28.870869,0.957843,3.481843,30.011974,0.956374
109,8.39e-09,24.952993,3.241989,24.952993,0.964300,3.467880,28.865082,0.957851,3.481588,30.006355,0.956383
110,8.39e-09,24.561519,3.211069,24.561520,0.964860,3.467968,28.866108,0.957850,3.481625,30.007238,0.956381
111,8.39e-09,25.278650,3.236389,25.278648,0.963834,3.468620,28.872849,0.957840,3.481861,30.013250,0.956372
112,8.39e-09,26.044929,3.270995,26.044928,0.962737,3.467956,28.865738,0.957850,3.481635,30.006714,0.956382
113,8.39e-09,24.296253,3.185849,24.296253,0.965239,3.468168,28.867895,0.957847,3.481730,30.008512,0.956379
114,8.39e-09,23.960643,3.132243,23.960644,0.965719,3.468991,28.876606,0.957834,3.481977,30.015917,0.956369
115,8.39e-09,24.960450,3.252272,24.960449,0.964289,3.471721,28.904684,0.957793,3.482926,30.041185,0.956332
116,8.39e-09,25.484952,3.285409,25.484953,0.963539,3.472095,28.908773,0.957787,3.483045,30.044683,0.956327
117,8.39e-09,26.367309,3.299145,26.367310,0.962276,3.472220,28.910587,0.957785,3.483010,30.045330,0.956326
118,8.39e-09,26.420948,3.299950,26.420948,0.962199,3.471560,28.904095,0.957794,3.482784,30.039160,0.956335
119,8.39e-09,25.152539,3.230362,25.152540,0.964014,3.472210,28.910759,0.957784,3.483016,30.045303,0.956326
120,8.39e-09,25.215502,3.217685,25.215502,0.963924,3.472513,28.914003,0.957780,3.483109,30.048119,0.956322
121,8.39e-09,26.072674,3.293913,26.072676,0.962698,3.474030,28.929499,0.957757,3.483642,30.062019,0.956302
122,8.39e-09,24.380882,3.136213,24.380884,0.965118,3.473308,28.922163,0.957768,3.483350,30.055199,0.956312
123,8.39e-09,25.461486,3.255176,25.461487,0.963572,3.473399,28.923468,0.957766,3.483366,30.055840,0.956311
124,8.39e-09,25.344160,3.231696,25.344160,0.963740,3.473373,28.923199,0.957766,3.483362,30.055746,0.956311
125,8.39e-09,25.705303,3.277835,25.705303,0.963223,3.474211,28.932085,0.957753,3.483603,30.062632,0.956301
126,8.39e-09,25.075179,3.208925,25.075178,0.964125,3.473720,28.927132,0.957761,3.483433,30.058098,0.956307
127,8.39e-09,24.682690,3.213925,24.682690,0.964686,3.473201,28.921556,0.957769,3.483300,30.054001,0.956313
128,8.39e-09,25.411685,3.230279,25.411686,0.963643,3.473678,28.926563,0.957761,3.483433,30.058252,0.956307
129,8.39e-09,24.994753,3.236739,24.994753,0.964240,3.474717,28.937168,0.957746,3.483805,30.067450,0.956294
130,8.39e-09,26.139038,3.326077,26.139038,0.962603,3.473154,28.921757,0.957768,3.483245,30.053089,0.956315
131,8.39e-09,25.879479,3.256454,25.879478,0.962974,3.472847,28.918554,0.957773,3.483142,30.050358,0.956319
