epoch,lr,train_loss,train_mae,train_mse,train_r2,val_mae,val_mse,val_r2,test_mae,test_mse,test_r2
54,2.05e-06,22.986134,3.071071,22.986134,0.967114,3.686371,30.496670,0.955469,3.658547,33.341129,0.951535
55,2.05e-06,22.777570,3.024354,22.777571,0.967412,4.016028,34.851151,0.949110,3.959661,37.929718,0.944865
56,8.19e-07,23.150682,3.096364,23.150681,0.966878,3.824227,32.277107,0.952869,3.783853,35.241402,0.948773
57,8.19e-07,22.932009,3.061504,22.932009,0.967191,3.845721,32.553432,0.952465,3.797564,35.428036,0.948502
58,8.19e-07,23.327800,3.081645,23.327801,0.966625,3.660525,30.186497,0.955922,3.637203,32.973038,0.952070
59,8.19e-07,24.731248,3.161272,24.731249,0.964617,3.789072,31.852287,0.953489,3.749962,34.708435,0.949548
60,8.19e-07,23.943638,3.096894,23.943638,0.965744,3.793367,31.901367,0.953418,3.752491,34.770348,0.949458
61,3.28e-07,22.392528,2.979463,22.392529,0.967963,3.703257,30.756395,0.955089,3.671601,33.509842,0.951290
62,3.28e-07,23.067475,3.079352,23.067476,0.966997,3.740181,31.223915,0.954407,3.703510,34.006310,0.950568
63,3.28e-07,22.319911,3.003004,22.319912,0.968067,3.746311,31.294012,0.954304,3.708328,34.082329,0.950458
64,3.28e-07,23.513843,3.102479,23.513844,0.966359,3.726287,31.052555,0.954657,3.692615,33.839119,0.950811
65,3.28e-07,23.200134,3.062453,23.200134,0.966807,3.716902,30.945623,0.954813,3.684416,33.706928,0.951003
66,1.31e-07,22.254247,3.030995,22.254248,0.968161,3.746839,31.313784,0.954276,3.709126,34.091064,0.950445
67,1.31e-07,22.713692,3.002784,22.713690,0.967503,3.722345,30.995571,0.954740,3.687198,33.758434,0.950929
68,1.31e-07,23.117754,3.051496,23.117754,0.966925,3.728535,31.078232,0.954620,3.692901,33.846210,0.950801
69,1.31e-07,23.280002,3.075428,23.280003,0.966693,3.710751,30.853106,0.954948,3.677655,33.608437,0.951147
70,1.31e-07,23.226099,3.071175,23.226099,0.966770,3.736793,31.179155,0.954472,3.699812,33.956203,0.950641
71,5.24e-08,23.209540,3.064094,23.209541,0.966794,3.728501,31.074160,0.954625,3.692680,33.843956,0.950804
72,5.24e-08,21.861903,3.003279,21.861902,0.968722,3.733967,31.143843,0.954524,3.697569,33.918541,0.950696
73,5.24e-08,22.738458,3.037315,22.738459,0.967468,3.714879,30.907568,0.954869,3.681242,33.661968,0.951069
74,5.24e-08,21.897233,2.975562,21.897234,0.968672,3.712212,30.879059,0.954910,3.679325,33.631393,0.951113
75,5.24e-08,23.300527,3.064313,23.300528,0.966664,3.735694,31.175812,0.954477,3.699770,33.948154,0.950653
76,2.10e-08,23.409008,3.044755,23.409008,0.966509,3.726176,31.055164,0.954653,3.691402,33.819492,0.950840
77,2.10e-08,23.354871,3.081238,23.354870,0.966586,3.725102,31.041109,0.954674,3.690426,33.804333,0.950862
78,2.10e-08,22.823418,3.033367,22.823416,0.967346,3.730038,31.103088,0.954583,3.694700,33.870335,0.950766
79,2.10e-08,22.773931,3.064476,22.773930,0.967417,3.725560,31.047213,0.954665,3.690778,33.809765,0.950854
80,2.10e-08,22.807886,3.040902,22.807888,0.967369,3.728372,31.082998,0.954613,3.693299,33.848778,0.950797
81,8.39e-09,23.346958,3.062453,23.346958,0.966597,3.724130,31.029770,0.954690,3.689619,33.791122,0.950881
82,8.39e-09,23.248162,3.066214,23.248161,0.966739,3.724075,31.029058,0.954691,3.689560,33.790058,0.950883
83,8.39e-09,23.004405,3.067190,23.004406,0.967088,3.723686,31.023771,0.954699,3.689248,33.785576,0.950889
84,8.39e-09,23.409810,3.084363,23.409811,0.966507,3.723313,31.019611,0.954705,3.688912,33.780285,0.950897
85,8.39e-09,24.559583,3.158906,24.559584,0.964862,3.726032,31.054012,0.954655,3.691255,33.816582,0.950844
86,8.39e-09,22.519976,3.026365,22.519976,0.967781,3.730073,31.105814,0.954579,3.694816,33.870770,0.950765
87,8.39e-09,22.573138,3.033541,22.573139,0.967704,3.729898,31.103750,0.954582,3.694672,33.868290,0.950769
88,8.39e-09,22.591983,3.059361,22.591984,0.967678,3.728835,31.090599,0.954601,3.693731,33.853733,0.950790
89,8.39e-09,22.354711,3.019886,22.354712,0.968017,3.728335,31.084417,0.954610,3.693319,33.847366,0.950799
90,8.39e-09,22.668667,3.068407,22.668667,0.967568,3.730102,31.106615,0.954578,3.694896,33.871418,0.950764
91,8.39e-09,22.923338,3.011484,22.923338,0.967203,3.729665,31.101532,0.954585,3.694539,33.865673,0.950773
92,8.39e-09,22.634905,3.015163,22.634907,0.967616,3.730000,31.105829,0.954579,3.694822,33.869770,0.950767
93,8.39e-09,22.357767,3.002523,22.357767,0.968013,3.729178,31.095478,0.954594,3.694100,33.858673,0.950783
94,8.39e-09,22.016393,3.020090,22.016392,0.968501,3.730599,31.113758,0.954568,3.695357,33.877796,0.950755
95,8.39e-09,22.266036,3.030728,22.266037,0.968144,3.730201,31.108892,0.954575,3.695007,33.872272,0.950763
96,8.39e-09,21.972585,3.010424,21.972586,0.968564,3.729526,31.099829,0.954588,3.694388,33.863087,0.950776
97,8.39e-09,22.500906,3.037907,22.500906,0.967808,3.728934,31.092237,0.954599,3.693891,33.855610,0.950787
98,8.39e-09,22.188108,3.058624,22.188105,0.968255,3.729270,31.096590,0.954593,3.694173,33.859764,0.950781
99,8.39e-09,22.411767,3.023005,22.411768,0.967935,3.729248,31.096571,0.954593,3.694148,33.859131,0.950782
100,8.39e-09,22.959413,3.055145,22.959412,0.967152,3.729209,31.095961,0.954594,3.694147,33.859035,0.950782
101,8.39e-09,22.403878,3.017818,22.403877,0.967947,3.727293,31.072008,0.954629,3.692468,33.833107,0.950820
102,8.39e-09,22.332426,3.012791,22.332426,0.968049,3.729607,31.100712,0.954587,3.694436,33.862728,0.950777
103,8.39e-09,23.793144,3.108089,23.793142,0.965959,3.730057,31.106714,0.954578,3.694819,33.868351,0.950769
104,8.39e-09,22.742849,3.076627,22.742849,0.967462,3.729941,31.104952,0.954580,3.694705,33.866776,0.950771
105,8.39e-09,22.422927,3.027472,22.422928,0.967919,3.730565,31.113106,0.954569,3.695262,33.874752,0.950759
106,8.39e-09,22.557532,3.010551,22.557533,0.967727,3.731015,31.118776,0.954560,3.695648,33.880684,0.950751
107,8.39e-09,23.184578,3.068848,23.184578,0.966830,3.731851,31.128799,0.954546,3.696387,33.892117,0.950734
108,8.39e-09,22.729983,3.013682,22.729984,0.967480,3.733247,31.146935,0.954519,3.697651,33.911045,0.950707
109,8.39e-09,22.594186,3.023517,22.594187,0.967674,3.735100,31.170790,0.954484,3.699286,33.935806,0.950671
110,8.39e-09,21.509672,2.930944,21.509672,0.969226,3.734937,31.168514,0.954488,3.699147,33.933876,0.950673
111,8.39e-09,21.013350,2.934165,21.013351,0.969936,3.734258,31.159607,0.954501,3.698527,33.924072,0.950688
112,8.39e-09,22.712824,3.029126,22.712824,0.967505,3.734441,31.161858,0.954497,3.698699,33.926601,0.950684
113,8.39e-09,22.603168,3.049176,22.603167,0.967662,3.733731,31.153036,0.954510,3.698102,33.916992,0.950698
114,8.39e-09,22.978839,3.050907,22.978840,0.967124,3.736226,31.185057,0.954464,3.700308,33.950302,0.950650
115,8.39e-09,22.636315,2.984003,22.636314,0.967614,3.736136,31.184017,0.954465,3.700204,33.948738,0.950652
116,8.39e-09,22.495810,3.032338,22.495811,0.967815,3.734083,31.157885,0.954503,3.698372,33.920639,0.950693
117,8.39e-09,22.505774,3.009659,22.505774,0.967801,3.734808,31.167299,0.954489,3.699028,33.930347,0.950679
118,8.39e-09,23.114764,3.041500,23.114763,0.966930,3.733555,31.151724,0.954512,3.697903,33.912998,0.950704
119,8.39e-09,22.287822,2.998385,22.287821,0.968113,3.734807,31.167963,0.954488,3.699047,33.930183,0.950679
120,8.39e-09,23.141382,3.083715,23.141382,0.966892,3.736824,31.193459,0.954451,3.700866,33.958038,0.950638
121,8.39e-09,22.550408,3.034064,22.550407,0.967737,3.736953,31.195015,0.954449,3.701009,33.960228,0.950635
122,8.39e-09,22.701886,3.048823,22.701885,0.967520,3.735294,31.173878,0.954480,3.699540,33.937748,0.950668
123,8.39e-09,23.177515,3.108235,23.177515,0.966840,3.732836,31.142372,0.954526,3.697317,33.904179,0.950717
124,8.39e-09,22.780758,3.043492,22.780758,0.967407,3.729151,31.095848,0.954594,3.694058,33.854332,0.950789
125,8.39e-09,22.146031,3.004250,22.146032,0.968316,3.728215,31.084166,0.954611,3.693216,33.841110,0.950808
126,8.39e-09,22.643276,3.062282,22.643276,0.967604,3.723510,31.024523,0.954698,3.689142,33.778164,0.950900
127,8.39e-09,22.633031,3.045234,22.633032,0.967619,3.722703,31.014189,0.954713,3.688437,33.767052,0.950916
128,8.39e-09,23.107561,3.032703,23.107561,0.966940,3.724947,31.042685,0.954671,3.690370,33.797352,0.950872
129,8.39e-09,23.130335,3.033700,23.130335,0.966907,3.724788,31.040800,0.954674,3.690258,33.795609,0.950874
130,8.39e-09,23.339843,3.080379,23.339842,0.966608,3.724568,31.037680,0.954679,3.690038,33.792259,0.950879
131,8.39e-09,22.811252,3.032583,22.811253,0.967364,3.726260,31.058693,0.954648,3.691524,33.815289,0.950846
132,8.39e-09,22.759617,3.063606,22.759617,0.967438,3.724702,31.039232,0.954676,3.690153,33.794094,0.950877
133,8.39e-09,22.793320,3.040115,22.793320,0.967389,3.725818,31.053553,0.954656,3.691167,33.809803,0.950854
134,8.39e-09,23.331867,3.061702,23.331867,0.966619,3.724293,31.034262,0.954684,3.689831,33.788986,0.950884
135,8.39e-09,23.238206,3.065384,23.238207,0.966753,3.724391,31.035849,0.954681,3.689897,33.790005,0.950883
136,8.39e-09,22.994028,3.066481,22.994028,0.967102,3.723781,31.027542,0.954694,3.689379,33.782200,0.950894
137,8.39e-09,23.399449,3.083596,23.399450,0.966522,3.723338,31.022331,0.954701,3.689004,33.776268,0.950903
138,8.39e-09,24.548957,3.158305,24.548956,0.964878,3.726032,31.056488,0.954651,3.691328,33.812237,0.950850
139,8.39e-09,22.509064,3.025633,22.509064,0.967796,3.730213,31.110226,0.954573,3.695065,33.868759,0.950768
140,8.39e-09,22.563566,3.032857,22.563566,0.967718,3.730021,31.107880,0.954576,3.694901,33.866390,0.950772
141,8.39e-09,22.581998,3.058671,22.581999,0.967692,3.729140,31.097315,0.954592,3.694107,33.853874,0.950790
142,8.39e-09,22.344804,3.019110,22.344805,0.968031,3.728631,31.090879,0.954601,3.693706,33.847820,0.950799
143,8.39e-09,22.659791,3.067703,22.659790,0.967580,3.730585,31.115580,0.954565,3.695457,33.874725,0.950759
144,8.39e-09,22.912836,3.010629,22.912834,0.967219,3.730260,31.111732,0.954571,3.695183,33.870235,0.950766
145,8.39e-09,22.623599,3.014345,22.623598,0.967632,3.730526,31.115198,0.954566,3.695412,33.873604,0.950761
146,8.39e-09,22.347585,3.001680,22.347586,0.968027,3.729747,31.105022,0.954580,3.694715,33.862812,0.950777
147,8.39e-09,22.005992,3.019268,22.005993,0.968516,3.731108,31.122948,0.954554,3.695943,33.881237,0.950750
148,8.39e-09,22.256338,3.030021,22.256338,0.968158,3.730529,31.115572,0.954565,3.695442,33.873657,0.950761
149,8.39e-09,21.964989,3.009848,21.964989,0.968575,3.729726,31.104797,0.954581,3.694712,33.862629,0.950777
150,8.39e-09,22.491472,3.037174,22.491472,0.967821,3.729092,31.096537,0.954593,3.694190,33.854874,0.950788
