epoch,lr,train_loss,train_mae,train_mse,train_r2,val_mae,val_mse,val_r2,test_mae,test_mse,test_r2
54,5.12e-06,18.962765,2.819387,18.962765,0.972870,3.477311,28.125576,0.958931,3.360085,28.931519,0.957945
55,5.12e-06,18.583397,2.777928,18.583397,0.973413,3.567009,29.178238,0.957394,3.421928,30.065527,0.956297
56,2.05e-06,19.101338,2.839828,19.101337,0.972672,3.504485,28.411854,0.958513,3.376183,29.270277,0.957453
57,2.05e-06,18.421573,2.774626,18.421572,0.973644,3.442224,27.632799,0.959651,3.323303,28.344505,0.958798
58,2.05e-06,19.271246,2.828654,19.271248,0.972429,3.374771,26.854877,0.960786,3.277887,27.710039,0.959720
59,2.05e-06,19.593591,2.858928,19.593592,0.971967,3.491359,28.335203,0.958625,3.359123,29.077955,0.957732
60,2.05e-06,18.887832,2.762974,18.887833,0.972977,3.387079,26.999491,0.960575,3.272624,27.624737,0.959844
61,8.19e-07,17.975854,2.739815,17.975855,0.974282,3.386766,27.129477,0.960386,3.278893,27.681961,0.959761
62,8.19e-07,18.424654,2.773845,18.424654,0.973640,3.394635,27.257734,0.960198,3.284032,27.825262,0.959553
63,8.19e-07,17.645511,2.700786,17.645512,0.974754,3.386066,27.101757,0.960426,3.272287,27.612532,0.959862
64,8.19e-07,18.492075,2.823076,18.492075,0.973543,3.386288,27.219505,0.960254,3.285528,27.851408,0.959515
65,8.19e-07,18.125073,2.734639,18.125072,0.974068,3.373077,27.068918,0.960474,3.272996,27.670446,0.959778
66,3.28e-07,17.545787,2.718710,17.545786,0.974897,3.384772,27.116125,0.960405,3.278070,27.738451,0.959679
67,3.28e-07,18.549999,2.742349,18.549999,0.973460,3.379960,27.050537,0.960501,3.274135,27.691414,0.959748
68,3.28e-07,18.281394,2.723735,18.281395,0.973845,3.385542,27.142473,0.960366,3.280784,27.821138,0.959559
69,3.28e-07,17.591187,2.726801,17.591187,0.974832,3.377015,27.056507,0.960492,3.274407,27.742348,0.959674
70,3.28e-07,18.129431,2.742213,18.129431,0.974062,3.373443,27.021715,0.960543,3.272235,27.701979,0.959732
71,1.31e-07,18.330876,2.745946,18.330877,0.973774,3.361083,26.893274,0.960730,3.262568,27.553886,0.959947
72,1.31e-07,17.861450,2.721672,17.861450,0.974446,3.359366,26.869808,0.960765,3.260546,27.522635,0.959993
73,1.31e-07,18.444192,2.769142,18.444193,0.973612,3.360450,26.889381,0.960736,3.261481,27.536076,0.959973
74,1.31e-07,18.675248,2.773877,18.675249,0.973281,3.384806,27.187326,0.960301,3.281662,27.864653,0.959496
75,1.31e-07,18.244391,2.757937,18.244390,0.973898,3.357503,26.862873,0.960775,3.258331,27.492050,0.960037
76,5.24e-08,17.964270,2.713541,17.964270,0.974298,3.366794,26.985998,0.960595,3.267003,27.632149,0.959834
77,5.24e-08,18.218845,2.762228,18.218843,0.973934,3.361570,26.921320,0.960689,3.262400,27.558243,0.959941
78,5.24e-08,18.558670,2.765623,18.558670,0.973448,3.361933,26.926884,0.960681,3.262755,27.563017,0.959934
79,5.24e-08,17.659429,2.712223,17.659430,0.974735,3.359242,26.899229,0.960722,3.260626,27.531700,0.959980
80,5.24e-08,18.076899,2.770574,18.076899,0.974137,3.358515,26.898521,0.960723,3.260350,27.529270,0.959983
81,2.10e-08,18.827176,2.779273,18.827177,0.973064,3.363965,26.963686,0.960628,3.265037,27.603704,0.959875
82,2.10e-08,17.699633,2.686614,17.699635,0.974677,3.365972,26.991367,0.960587,3.266976,27.634699,0.959830
83,2.10e-08,17.905952,2.720546,17.905952,0.974382,3.362707,26.954441,0.960641,3.264419,27.593853,0.959889
84,2.10e-08,17.892928,2.759625,17.892927,0.974401,3.358681,26.907003,0.960710,3.261043,27.539377,0.959969
85,2.10e-08,17.687583,2.682782,17.687582,0.974694,3.358328,26.905041,0.960713,3.260939,27.538334,0.959970
86,8.39e-09,17.746914,2.754328,17.746912,0.974609,3.363820,26.971376,0.960616,3.265834,27.615990,0.959857
87,8.39e-09,18.417757,2.752319,18.417759,0.973650,3.364026,26.974363,0.960612,3.266042,27.619299,0.959852
88,8.39e-09,18.092002,2.743904,18.091999,0.974116,3.364209,26.977943,0.960607,3.266320,27.623755,0.959846
89,8.39e-09,18.247527,2.725510,18.247528,0.973893,3.364351,26.979778,0.960604,3.266472,27.626968,0.959841
90,8.39e-09,17.327755,2.676211,17.327755,0.975209,3.365184,26.990913,0.960588,3.267242,27.638992,0.959824
91,8.39e-09,17.473660,2.716733,17.473661,0.975000,3.364403,26.981890,0.960601,3.266623,27.629396,0.959838
92,8.39e-09,17.203488,2.709008,17.203489,0.975387,3.363838,26.974056,0.960612,3.266057,27.619949,0.959851
93,8.39e-09,18.421495,2.776093,18.421495,0.973644,3.363043,26.964630,0.960626,3.265392,27.609949,0.959866
94,8.39e-09,18.304068,2.763183,18.304070,0.973812,3.363105,26.965004,0.960626,3.265361,27.609514,0.959867
95,8.39e-09,17.801654,2.710229,17.801655,0.974531,3.362685,26.960398,0.960632,3.265059,27.604589,0.959874
96,8.39e-09,18.422091,2.761615,18.422091,0.973643,3.362149,26.954096,0.960642,3.264588,27.597103,0.959885
97,8.39e-09,17.854925,2.741898,17.854925,0.974455,3.361698,26.948917,0.960649,3.264236,27.591812,0.959892
98,8.39e-09,17.324364,2.680700,17.324362,0.975214,3.362034,26.951437,0.960645,3.264360,27.593641,0.959890
99,8.39e-09,18.772885,2.814425,18.772884,0.973142,3.362662,26.959631,0.960634,3.264902,27.601965,0.959878
