epoch,lr,train_loss,train_mae,train_mse,train_r2,val_mae,val_mse,val_r2,test_mae,test_mse,test_r2
54,3.20e-05,18.419706,2.851010,18.419706,0.973647,3.467519,30.869375,0.954924,3.307292,27.395842,0.960177
55,3.20e-05,15.585487,2.644388,15.585487,0.977702,3.342018,29.711685,0.956615,3.298214,26.225941,0.961878
56,3.20e-05,14.238633,2.522324,14.238634,0.979629,3.257561,29.374146,0.957108,3.191799,25.559677,0.962846
57,3.20e-05,14.105092,2.500294,14.105093,0.979820,3.340780,29.648020,0.956708,3.237695,26.156628,0.961979
58,3.20e-05,13.663965,2.462368,13.663965,0.980451,3.339946,30.317251,0.955731,3.199878,25.896683,0.962356
59,3.20e-05,12.682995,2.356339,12.682996,0.981854,3.289095,29.378960,0.957101,3.250093,26.645950,0.961267
60,3.20e-05,12.809898,2.346229,12.809898,0.981673,3.415957,30.624546,0.955282,3.262870,27.026781,0.960714
61,1.28e-05,12.565746,2.346801,12.565746,0.982022,3.333381,30.059008,0.956108,3.261594,26.351252,0.961696
62,1.28e-05,11.340245,2.238988,11.340244,0.983775,3.318704,29.720448,0.956602,3.215176,26.465694,0.961529
63,1.28e-05,10.590951,2.117915,10.590951,0.984847,3.397702,30.473223,0.955503,3.272411,27.140194,0.960549
64,1.28e-05,10.898382,2.169531,10.898382,0.984408,3.358570,30.117723,0.956022,3.219739,26.694202,0.961197
65,1.28e-05,10.015722,2.084980,10.015721,0.985670,3.370598,30.430658,0.955565,3.231380,27.034779,0.960702
66,5.12e-06,10.227829,2.100399,10.227830,0.985367,3.342576,30.298433,0.955758,3.189970,26.699152,0.961190
67,5.12e-06,9.707009,2.031879,9.707009,0.986112,3.341087,30.346220,0.955688,3.229349,26.999969,0.960753
68,5.12e-06,8.953532,1.961366,8.953532,0.987190,3.337697,30.147682,0.955978,3.232425,26.943956,0.960834
69,5.12e-06,9.204149,1.950231,9.204149,0.986832,3.336546,30.121927,0.956016,3.216822,26.867390,0.960945
70,5.12e-06,9.040306,1.986847,9.040305,0.987066,3.342992,30.088697,0.956064,3.233836,27.026054,0.960715
71,2.05e-06,8.996674,1.951211,8.996675,0.987128,3.312641,29.947172,0.956271,3.208939,26.835121,0.960992
72,2.05e-06,9.048644,1.971212,9.048644,0.987054,3.314552,29.871359,0.956382,3.187173,26.541466,0.961419
73,2.05e-06,8.969063,1.968586,8.969064,0.987168,3.317128,29.952616,0.956263,3.187590,26.586586,0.961354
74,2.05e-06,8.414632,1.902319,8.414632,0.987961,3.323431,29.956419,0.956258,3.190012,26.632055,0.961287
75,2.05e-06,8.429538,1.897268,8.429537,0.987940,3.296142,29.793306,0.956496,3.177696,26.442238,0.961563
76,8.19e-07,8.525621,1.898828,8.525620,0.987802,3.294784,29.805853,0.956477,3.163732,26.436445,0.961572
77,8.19e-07,8.568825,1.929019,8.568825,0.987741,3.288188,29.776218,0.956521,3.152521,26.265795,0.961820
78,8.19e-07,8.626321,1.916766,8.626321,0.987658,3.283731,29.742300,0.956570,3.152541,26.219040,0.961888
79,8.19e-07,8.350762,1.890740,8.350761,0.988053,3.306645,29.909912,0.956325,3.165997,26.390051,0.961639
80,8.19e-07,8.617271,1.928004,8.617271,0.987671,3.290345,29.781958,0.956512,3.159892,26.269583,0.961814
81,3.28e-07,8.236308,1.866569,8.236307,0.988216,3.299673,29.845934,0.956419,3.165142,26.376049,0.961660
82,3.28e-07,8.288918,1.893125,8.288918,0.988141,3.298260,29.881350,0.956367,3.157989,26.342810,0.961708
83,3.28e-07,8.185400,1.859256,8.185400,0.988289,3.289381,29.828310,0.956445,3.152081,26.273584,0.961809
84,3.28e-07,8.065473,1.865375,8.065474,0.988461,3.282540,29.800884,0.956485,3.148584,26.230043,0.961872
85,3.28e-07,8.205031,1.874335,8.205031,0.988261,3.280296,29.761494,0.956542,3.149120,26.214043,0.961895
86,1.31e-07,8.416476,1.899284,8.416476,0.987958,3.289283,29.823895,0.956451,3.153779,26.273960,0.961808
87,1.31e-07,8.129083,1.859923,8.129083,0.988370,3.290193,29.841940,0.956425,3.152825,26.294420,0.961778
88,1.31e-07,8.164590,1.861786,8.164590,0.988319,3.287302,29.817114,0.956461,3.151168,26.264938,0.961821
89,1.31e-07,8.243182,1.892153,8.243182,0.988206,3.291972,29.852745,0.956409,3.153104,26.308701,0.961757
90,1.31e-07,7.969001,1.834659,7.969001,0.988599,3.290560,29.843485,0.956423,3.152243,26.292715,0.961781
91,5.24e-08,8.130651,1.863987,8.130651,0.988367,3.292678,29.865976,0.956390,3.152590,26.315439,0.961748
